SID,Group,Block,Trial,Time,Hand
1,Video,Doubles,1,1.9651,R
1,Video,Doubles,1,2.4385,R
1,Video,Doubles,1,2.9135,L
1,Video,Doubles,1,3.3630,L
1,Video,Doubles,1,3.9438,R
1,Video,Doubles,1,4.4391,R
1,Video,Doubles,1,4.9391,L
1,Video,Doubles,1,5.4490,L
1,Video,Doubles,1,5.9510,R
1,Video,Doubles,1,6.4323,R
1,Video,Doubles,1,6.9443,L
1,Video,Doubles,1,7.4448,L
1,Video,Doubles,1,7.9286,R
1,Video,Doubles,1,8.4250,R
1,Video,Doubles,1,8.8958,L
1,Video,Doubles,1,9.4104,L
1,Video,Doubles,1,9.9276,R
1,Video,Doubles,1,10.4026,R
1,Video,Doubles,1,10.9401,L
1,Video,Doubles,1,11.4021,L
1,Video,Doubles,1,11.9630,R
1,Video,Doubles,1,12.4281,R
1,Video,Doubles,1,12.9490,L
1,Video,Doubles,1,13.4682,L
1,Video,Doubles,1,13.9703,R
1,Video,Doubles,1,14.4432,R
1,Video,Doubles,1,14.9859,L
1,Video,Doubles,1,15.4516,L
1,Video,Doubles,1,15.9818,R
1,Video,Doubles,1,16.4547,R
1,Video,Doubles,1,16.9484,L
1,Video,Doubles,1,17.4302,L
1,Video,Doubles,1,17.9911,R
1,Video,Doubles,2,1.9844,R
1,Video,Doubles,2,2.4771,R
1,Video,Doubles,2,2.9458,L
1,Video,Doubles,2,3.4365,L
1,Video,Doubles,2,4.0188,R
1,Video,Doubles,2,4.4969,R
1,Video,Doubles,2,4.9995,L
1,Video,Doubles,2,5.4760,L
1,Video,Doubles,2,5.9802,R
1,Video,Doubles,2,6.4849,R
1,Video,Doubles,2,6.9484,L
1,Video,Doubles,2,7.4625,L
1,Video,Doubles,2,7.9656,R
1,Video,Doubles,2,8.4615,R
1,Video,Doubles,2,8.9693,L
1,Video,Doubles,2,9.4370,L
1,Video,Doubles,2,9.9703,R
1,Video,Doubles,2,10.4766,R
1,Video,Doubles,2,10.9891,L
1,Video,Doubles,2,11.4620,L
1,Video,Doubles,2,11.9708,R
1,Video,Doubles,2,12.4422,R
1,Video,Doubles,2,12.9177,L
1,Video,Doubles,2,13.4391,L
1,Video,Doubles,2,13.9583,R
1,Video,Doubles,2,14.4557,R
1,Video,Doubles,2,14.9417,L
1,Video,Doubles,2,15.4302,L
1,Video,Doubles,2,15.9380,R
1,Video,Doubles,2,16.4250,R
1,Video,Doubles,2,16.9417,L
1,Video,Doubles,2,17.4547,L
1,Video,Doubles,2,18.0240,R
1,Video,Paradiddles,1,1.9672,R
1,Video,Paradiddles,1,2.4276,L
1,Video,Paradiddles,1,2.9422,R
1,Video,Paradiddles,1,3.4375,L
1,Video,Paradiddles,1,3.9302,L
1,Video,Paradiddles,1,4.4286,R
1,Video,Paradiddles,1,4.9109,L
1,Video,Paradiddles,1,5.4078,L
1,Video,Paradiddles,1,6.0026,R
1,Video,Paradiddles,1,6.5010,L
1,Video,Paradiddles,1,6.9625,R
1,Video,Paradiddles,1,7.4292,R
1,Video,Paradiddles,1,7.9234,L
1,Video,Paradiddles,1,8.4260,R
1,Video,Paradiddles,1,8.9406,L
1,Video,Paradiddles,1,9.4188,L
1,Video,Paradiddles,1,9.9021,R
1,Video,Paradiddles,1,10.4385,L
1,Video,Paradiddles,1,10.9198,R
1,Video,Paradiddles,1,11.4188,R
