SID,Group,Block,Trial,Time,Hand
x,y,Doubles,1,2,R
x,y,Doubles,1,2.5,R
x,y,Doubles,1,3,L
x,y,Doubles,1,3.5,L
x,y,Doubles,1,4,R
x,y,Doubles,1,4.5,R
x,y,Doubles,1,5,L
x,y,Doubles,1,5.5,L
x,y,Doubles,1,6,R
x,y,Doubles,1,6.5,R
x,y,Doubles,1,7,L
x,y,Doubles,1,7.5,L
x,y,Doubles,1,8,R
x,y,Doubles,1,8.5,R
x,y,Doubles,1,9,L
x,y,Doubles,1,9.5,L
x,y,Doubles,1,10,R
x,y,Doubles,1,10.5,R
x,y,Doubles,1,11,L
x,y,Doubles,1,11.5,L
x,y,Doubles,1,12,R
x,y,Doubles,1,12.5,R
x,y,Doubles,1,13,L
x,y,Doubles,1,13.5,L
x,y,Doubles,1,14,R
x,y,Doubles,1,14.5,R
x,y,Doubles,1,15,L
x,y,Doubles,1,15.5,L
x,y,Doubles,1,16,R
x,y,Doubles,1,16.5,R
x,y,Doubles,1,17,L
x,y,Doubles,1,17.5,L
x,y,Doubles,1,18,R
x,y,Doubles,2,2,R
x,y,Doubles,2,2.5,R
x,y,Doubles,2,3,L
x,y,Doubles,2,3.5,L
x,y,Doubles,2,4,R
x,y,Doubles,2,4.5,R
x,y,Doubles,2,5,L
x,y,Doubles,2,5.5,L
x,y,Doubles,2,6,R
x,y,Doubles,2,6.5,R
x,y,Doubles,2,7,L
x,y,Doubles,2,7.5,L
x,y,Doubles,2,8,R
x,y,Doubles,2,8.5,R
x,y,Doubles,2,9,L
x,y,Doubles,2,9.5,L
x,y,Doubles,2,10,R
x,y,Doubles,2,10.5,R
x,y,Doubles,2,11,L
x,y,Doubles,2,11.5,L
x,y,Doubles,2,12,R
x,y,Doubles,2,12.5,R
x,y,Doubles,2,13,L
x,y,Doubles,2,13.5,L
x,y,Doubles,2,14,R
x,y,Doubles,2,14.5,R
x,y,Doubles,2,15,L
x,y,Doubles,2,15.5,L
x,y,Doubles,2,16,R
x,y,Doubles,2,16.5,R
x,y,Doubles,2,17,L
x,y,Doubles,2,17.5,L
x,y,Doubles,2,18,R
x,y,Paradiddles,1,2,R
x,y,Paradiddles,1,2.5,L
x,y,Paradiddles,1,3,R
x,y,Paradiddles,1,3.5,R
x,y,Paradiddles,1,4,L
x,y,Paradiddles,1,4.5,R
x,y,Paradiddles,1,5,L
x,y,Paradiddles,1,5.5,L
x,y,Paradiddles,1,6,R
x,y,Paradiddles,1,6.5,L
x,y,Paradiddles,1,7,R
x,y,Paradiddles,1,7.5,R
x,y,Paradiddles,1,8,L
x,y,Paradiddles,1,8.5,R
x,y,Paradiddles,1,9,L
x,y,Paradiddles,1,9.5,L
x,y,Paradiddles,1,10,R
x,y,Paradiddles,1,10.5,L
x,y,Paradiddles,1,11,R
x,y,Paradiddles,1,11.5,R
x,y,Paradiddles,1,12,L
x,y,Paradiddles,1,12.5,R
x,y,Paradiddles,1,13,L
x,y,Paradiddles,1,13.5,L
x,y,Paradiddles,1,14,R
x,y,Paradiddles,1,14.5,L
x,y,Paradiddles,1,15,R
x,y,Paradiddles,1,15.5,R
x,y,Paradiddles,1,16,L
x,y,Paradiddles,1,16.5,R
x,y,Paradiddles,1,17,L
x,y,Paradiddles,1,17.5,L
x,y,Paradiddles,1,18,R
x,y,Paradiddles,2,2,R
x,y,Paradiddles,2,2.5,L
x,y,Paradiddles,2,3,R
x,y,Paradiddles,2,3.5,R
x,y,Paradiddles,2,4,L
x,y,Paradiddles,2,4.5,R
x,y,Paradiddles,2,5,L
x,y,Paradiddles,2,5.5,L
x,y,Paradiddles,2,6,R
x,y,Paradiddles,2,6.5,L
x,y,Paradiddles,2,7,R
x,y,Paradiddles,2,7.5,R
x,y,Paradiddles,2,8,L
x,y,Paradiddles,2,8.5,R
x,y,Paradiddles,2,9,L
x,y,Paradiddles,2,9.5,L
x,y,Paradiddles,2,10,R
x,y,Paradiddles,2,10.5,L
x,y,Paradiddles,2,11,R
x,y,Paradiddles,2,11.5,R
x,y,Paradiddles,2,12,L
x,y,Paradiddles,2,12.5,R
x,y,Paradiddles,2,13,L
x,y,Paradiddles,2,13.5,L
x,y,Paradiddles,2,14,R
x,y,Paradiddles,2,14.5,L
x,y,Paradiddles,2,15,R
x,y,Paradiddles,2,15.5,R
x,y,Paradiddles,2,16,L
x,y,Paradiddles,2,16.5,R
x,y,Paradiddles,2,17,L
x,y,Paradiddles,2,17.5,L
x,y,Paradiddles,2,18,R
x,y,3:2,1,2,R
x,y,3:2,1,2,L
x,y,3:2,1,2.5,R
x,y,3:2,1,2.75,L
x,y,3:2,1,3,R
x,y,3:2,1,3.5,R
x,y,3:2,1,3.5,L
x,y,3:2,1,4,R
x,y,3:2,1,4.25,L
x,y,3:2,1,4.5,R
x,y,3:2,1,5,R
x,y,3:2,1,5,L
x,y,3:2,1,5.5,R
x,y,3:2,1,5.75,L
x,y,3:2,1,6,R
x,y,3:2,1,6.5,R
x,y,3:2,1,6.5,L
x,y,3:2,1,7,R
x,y,3:2,1,7.25,L
x,y,3:2,1,7.5,R
x,y,3:2,1,8,R
x,y,3:2,1,8,L
x,y,3:2,1,8.5,R
x,y,3:2,1,8.75,L
x,y,3:2,1,9,R
x,y,3:2,1,9.5,R
x,y,3:2,1,9.5,L
x,y,3:2,1,10,R
x,y,3:2,1,10.25,L
x,y,3:2,1,10.5,R
x,y,3:2,1,11,R
x,y,3:2,1,11,L
x,y,3:2,1,11.5,R
x,y,3:2,1,11.75,L
x,y,3:2,1,12,R
x,y,3:2,1,12.5,R
x,y,3:2,1,12.5,L
x,y,3:2,1,13,R
x,y,3:2,1,13.25,L
x,y,3:2,1,13.5,R
x,y,3:2,1,14,R
x,y,3:2,2,2,R
x,y,3:2,2,2,L
x,y,3:2,2,2.5,R
x,y,3:2,2,2.75,L
x,y,3:2,2,3,R
x,y,3:2,2,3.5,R
x,y,3:2,2,3.5,L
x,y,3:2,2,4,R
x,y,3:2,2,4.25,L
x,y,3:2,2,4.5,R
x,y,3:2,2,5,R
x,y,3:2,2,5,L
x,y,3:2,2,5.5,R
x,y,3:2,2,5.75,L
x,y,3:2,2,6,R
x,y,3:2,2,6.5,R
x,y,3:2,2,6.5,L
x,y,3:2,2,7,R
x,y,3:2,2,7.25,L
x,y,3:2,2,7.5,R
x,y,3:2,2,8,R
x,y,3:2,2,8,L
x,y,3:2,2,8.5,R
x,y,3:2,2,8.75,L
x,y,3:2,2,9,R
x,y,3:2,2,9.5,R
x,y,3:2,2,9.5,L
x,y,3:2,2,10,R
x,y,3:2,2,10.25,L
x,y,3:2,2,10.5,R
x,y,3:2,2,11,R
x,y,3:2,2,11,L
x,y,3:2,2,11.5,R
x,y,3:2,2,11.75,L
x,y,3:2,2,12,R
x,y,3:2,2,12.5,R
x,y,3:2,2,12.5,L
x,y,3:2,2,13,R
x,y,3:2,2,13.25,L
x,y,3:2,2,13.5,R
x,y,3:2,2,14,R
x,y,3:2,2,14,L
x,y,3:4,1,2,R
x,y,3:4,1,2,L
x,y,3:4,1,2.375,L
x,y,3:4,1,2.5,R
x,y,3:4,1,2.75,L
x,y,3:4,1,3,R
x,y,3:4,1,3.125,L
x,y,3:4,1,3.5,R
x,y,3:4,1,3.5,L
x,y,3:4,1,3.875,L
x,y,3:4,1,4,R
x,y,3:4,1,4.25,L
x,y,3:4,1,4.5,R
x,y,3:4,1,4.625,L
x,y,3:4,1,5,R
x,y,3:4,1,5,L
x,y,3:4,1,5.375,L
x,y,3:4,1,5.5,R
x,y,3:4,1,5.75,L
x,y,3:4,1,6,R
x,y,3:4,1,6.125,L
x,y,3:4,1,6.5,R
x,y,3:4,1,6.5,L
x,y,3:4,1,6.875,L
x,y,3:4,1,7,R
x,y,3:4,1,7.25,L
x,y,3:4,1,7.5,R
x,y,3:4,1,7.625,L
x,y,3:4,1,8,R
x,y,3:4,1,8,L
x,y,3:4,1,8.375,L
x,y,3:4,1,8.5,R
x,y,3:4,1,8.75,L
x,y,3:4,1,9,R
x,y,3:4,1,9.125,L
x,y,3:4,1,9.5,R
x,y,3:4,1,9.5,L
x,y,3:4,1,9.875,L
x,y,3:4,1,10,R
x,y,3:4,1,10.25,L
x,y,3:4,1,10.5,R
x,y,3:4,1,10.625,L
x,y,3:4,1,11,R
x,y,3:4,1,11,L
x,y,3:4,1,11.375,L
x,y,3:4,1,11.5,R
x,y,3:4,1,11.75,L
x,y,3:4,1,12,R
x,y,3:4,1,12.125,L
x,y,3:4,1,12.5,R
x,y,3:4,1,12.5,L
x,y,3:4,1,12.875,L
x,y,3:4,1,13,R
x,y,3:4,1,13.25,L
x,y,3:4,1,13.5,R
x,y,3:4,1,13.625,L
x,y,3:4,1,14,R
x,y,3:4,1,14,L
x,y,3:4,2,2,R
x,y,3:4,2,2,L
x,y,3:4,2,2.375,L
x,y,3:4,2,2.5,R
x,y,3:4,2,2.75,L
x,y,3:4,2,3,R
x,y,3:4,2,3.125,L
x,y,3:4,2,3.5,R
x,y,3:4,2,3.5,L
x,y,3:4,2,3.875,L
x,y,3:4,2,4,R
x,y,3:4,2,4.25,L
x,y,3:4,2,4.5,R
x,y,3:4,2,4.625,L
x,y,3:4,2,5,R
x,y,3:4,2,5,L
x,y,3:4,2,5.375,L
x,y,3:4,2,5.5,R
x,y,3:4,2,5.75,L
x,y,3:4,2,6,R
x,y,3:4,2,6.125,L
x,y,3:4,2,6.5,R
x,y,3:4,2,6.5,L
x,y,3:4,2,6.875,L
x,y,3:4,2,7,R
x,y,3:4,2,7.25,L
x,y,3:4,2,7.5,R
x,y,3:4,2,7.625,L
x,y,3:4,2,8,R
x,y,3:4,2,8,L
x,y,3:4,2,8.375,L
x,y,3:4,2,8.5,R
x,y,3:4,2,8.75,L
x,y,3:4,2,9,R
x,y,3:4,2,9.125,L
x,y,3:4,2,9.5,R
x,y,3:4,2,9.5,L
x,y,3:4,2,9.875,L
x,y,3:4,2,10,R
x,y,3:4,2,10.25,L
x,y,3:4,2,10.5,R
x,y,3:4,2,10.625,L
x,y,3:4,2,11,R
x,y,3:4,2,11,L
x,y,3:4,2,11.375,L
x,y,3:4,2,11.5,R
x,y,3:4,2,11.75,L
x,y,3:4,2,12,R
x,y,3:4,2,12.125,L
x,y,3:4,2,12.5,R
x,y,3:4,2,12.5,L
x,y,3:4,2,12.875,L
x,y,3:4,2,13,R
x,y,3:4,2,13.25,L
x,y,3:4,2,13.5,R
x,y,3:4,2,13.625,L
x,y,3:4,2,14,R
x,y,3:4,2,14,L
